"Topic","ExportAs","Definition","IntentandUsage","Example","Source","Considered","Notes","Namespace","Type","META:CREATEINFO.author","META:CREATEINFO.date","info.author","info.date","info.version","parent.name","preferences[name='PERM_ID_MD5'].value"
"TaxonProfile/Builder.HappinessIndex","HappinessIndex","Indication or measurment of consensus about the term definition","A digit between 0 (not a satisfactory term definition) through to 9 (A very well defined term)","","","","Added as a measure of consensus on the definition of terms and the relationships between terms.","","","PaulAlexander","1278293182","PaulAlexander","1337215908","12","TermForm","994a7d14f6d5fdc8047fffefe2760317"
"TaxonProfile/Builder.Label","rdfs:label","The human-readable label assigned to the term. ","","SKOS provides three properties to attach labels to conceptual resources: SKOS:prefLabel, SKOS:altLabel and SKOS:hiddenLabel. ","http://www.w3.org/TR/rdf-schema/#ch_label","dcTerm:title","","","","PaulAlexander","1253681630","BaseUserMapping_333","1304789945","11","TermAttributeForm","62dab8806d0addc3fbb477a5b3fd0365"
"TaxonProfile/Builder.LastModified","dcterms:modified","Date on which the resource was changed.","The most recent date that the term was changed","","http://dublincore.org/documents/dcmi-terms/#terms-modified","","","","","PaulAlexander","1269822009","BaseUserMapping_333","1304789945","6","TermAttributeForm","c7d0d6c82875bee0466a68ba1666332a"
"TaxonProfile/Builder.Namespace","Namespace","This is the context identifier in which the term is used.used. For example the term called Location with its associated definition; ""Latitude and Longitude where the specimen was found"" may only be valid in the context of a Museum collection. A new definition and namespace would be needed to describe Location in the context of General Post Offices for mail distribution, even though Latitude and Longitude are the standard representation. ","","For example the term called Location with its associated definition; ""Latitude and Longitude where the specimen was found"" may only be valid in the context of a Museum collection. A new definition and namespace would be needed to describe Location in the context of General Post Offices for mail distribution, even though Latitude and Longitude are the standard representation.","This is a group, or superset to which terms are assinged or placed","skos:Collection,skos:MemberList, rdf:Type, rdfs:Class rdfs:Container","See Also:\r\nhttp://www.w3.org/XML/1998/namespace\r\nhttp://www.w3.org/TR/xml-names/","skos:Collection","SKOS:Collection","PaulAlexander","1254383133","PaulAlexander","1337220161","40","TaxonProfile/Definitions.WebHome","48c56393ca2bd6c801bcbc2824bbf05e"
"TaxonProfile/Builder.OriginalDefinition","OriginalDefinition","The source text from which the definition was derived and the definition of the wc:term in the work","Used where a definition has been formally provided in the work.","Example: If synopsis appears in the glossary of a work, but content against synopsis is presented as a key in the main work with a different or dual intent to that described in the glossary.","","","Is the Synopsis Example a unique case? Do others exist?","","","PaulAlexander","1278046847","BaseUserMapping_333","1304789957","3","TermAttributeForm","96441f6309a0360b49c0daaef2dfd7e0"
"TaxonProfile/Builder.PreviousVersion","dcterms:hasVersion","A related resource that is a version, edition, or adaptation of the described resource.","If a previous version of this term exists a record of that term is documented in this field.","","http://dublincore.org/documents/dcmi-terms/#terms-hasVersion","","","","","PaulAlexander","1269822452","BaseUserMapping_333","1304789957","6","TermAttributeForm","568dc9bfa815d4962ba306f4ddb46a3e"
"TaxonProfile/Builder.Range","rdfs:range","rdfs:range is an instance of rdf:Property that is used to state that the values of a property are instances of one or more classes.","","","","","","","","PaulAlexander","1274254013","BaseUserMapping_333","1304789962","4","TermAttributeForm","9ea32fd6403b5266baea1c056f1d1a06"
"TaxonProfile/Builder.SameAs","OWL:SameAs","The built-in OWL property owl:sameAs links an individual to an individual. Such an owl:sameAs statement indicates that two URI references actually refer to the same thing: the individuals have the same ""identity"". ","","For individuals such as ""people"" this notion is relatively easy to understand. For example, we could state that the following two URI references actually refer to the same person:\r\n\r\n<rdf:Description rdf:about=""#William_Jefferson_Clinton"">\r\n  <owl:sameAs rdf:resource=""#BillClinton""/>\r\n</rdf:Description>\r\n\r\nThe owl:sameAs statements are often used in defining mappings between ontologies. It is unrealistic to assume everybody will use the same name to refer to individuals. That would require some grand design, which is contrary to the spirit of the web. ","http://www.w3.org/TR/owl-ref/#sameAs-def","","In OWL Full, where a class can be treated as instances of (meta)classes, we can use the owl:sameAs construct to define class equality, thus indicating that two concepts have the same intensional meaning. An example:\r\n\r\n<owl:Class rdf:ID=""FootballTeam"">\r\n  <owl:sameAs rdf:resource=""http://sports.org/US#SoccerTeam""/>\r\n</owl:Class>\r\n\r\nOne could imagine this axiom to be part of a European sports ontology. The two classes are treated here as individuals, in this case as instances of the class owl:Class. This allows us to state that the class FootballTeam in some European sports ontology denotes the same concept as the class SoccerTeam in some American sports ontology. Note the difference with the statement:\r\n\r\n<footballTeam owl:equivalentClass us:soccerTeam />\r\n\r\nwhich states that the two classes have the same class extension, but are not (necessarily) the same concepts. ","OWL","","PaulAlexander","1323990781","PaulAlexander","1323990781","1","","88fdfd444c91bc1db6f572f3b48a248c"
"TaxonProfile/Builder.TermBasis","dcterms:source","A related resource from which the described resource is derived","","","http://dublincore.org/documents/dcmi-terms/#terms-source","","","","","PaulAlexander","1269822193","BaseUserMapping_333","1304789984","8","TermAttributeForm","fd0d9e4cba49467191230e1573046c61"
"TaxonProfile/Builder.TermGroup","WC:TermGroup","A informal method of classifying the Wallace Core terms ","This is a very informal tool to assist with the Wallace Core development, and is only intend to be part of the analysis process.","","TaxonProfile/Definitions.HubRIS group","dcTerm:subject has a range of some authority list, but 'Term Group' is intended to be informal at this time, and used to aid analysis of terms that are considered to be similar terms.","","","","PaulAlexander","1273127233","BaseUserMapping_333","1304789991","21","TermAttributeForm","da5afd69e41741209d172e6deee00e7b"
"TaxonProfile/Builder.Type","rdfs:Type","rdf:type is an instance of rdf:Property that is used to state that a resource is an instance of a class.","","","http://www.w3.org/TR/2004/REC-rdf-schema-20040210/#ch_type","[[http://dublincore.org/documents/dcmi-terms/#terms-type][dcterms:Type]], [[http://dublincore.org/documents/dcmi-terms/#terms-format][dcterms:Format]], [[http://dublincore.org/documents/dcmi-terms/#terms-language][dcterms:language]] (we are using English for the first phase of this framework)\r\n","http://www.ibm.com/developerworks/xml/library/x-tiprdfai/index.html . TRIN implimented [[Type][TermType]] when WebServices were developed becauase there was a need to identify ""DataAccessPoints"". An example of a webservice that lists all form fields but dosen't identify which fields are LSIDs creates a problem for the webservice consumer. A dataAccesspoint in this context is searchable and possibly contains a controlled vocabulary. ","","","PaulAlexander","1273218044","PaulAlexander","1336368017","7","TermAttributeForm","ea71339288a4cd6529a545c0ab31a94c"
