"Topic","Label","DisambiguatedLabel","Definition","OriginalDefinition","Comment","Namespace","TermBasis","TermGroup","HappinessIndex","SeeAlso","Example","DateCreated","LastModified","Type","PreviousVersion","Contributor","Creator","Coverage","Domain","Range","FieldType","FieldSize","FieldValue","FieldTooltip","FieldAttributes","SameAs","Equivalent","META:CREATEINFO.author","META:CREATEINFO.date","info.author","info.date","info.version","parent.name","preferences[name='PERM_ID_MD5'].value"
"TaxonProfile/Definitions.APII_ImageID","Image ID","","","An id to identify every image resource uniquely.","","APII","","Unplaced","","","000001, 000002 etc.","","","","","","","","","","text","6","","","","","","PaulHarvey","1296779806","BaseUserMapping_333","1304790026","3","APII","720813b2db8e304f2c16d453a9612e13"
"TaxonProfile/Definitions.APII_LatLong","Lat/Long","","Latiude/longitude where the image was taken.","","This doesn't exist in the IBIS APII database as a single column, but rather separate columns for deg/min/ss/dir for each axis. Added as a single field here for the sake of convenient(er) wiki-apping.","APII","","Unplaced","","","","","","","","","","","","","text","","","","","","","PaulHarvey","1296781010","BaseUserMapping_333","1304790029","3","APII","15f7a29973f42f7fd19fee7c7e310d99"
"TaxonProfile/Definitions.APII_Locality","Locality","","","Text description of the locality where the specimen was located.","","APII","","Unplaced","","","10 k S Dongarra > Eneabba WA","","","","[[http://peperomia-bp/foswiki/git/bin/view/TaxonProfile/Definitions/APII_Locality?rev=0]]","[[/foswiki/git/bin/oops/TaxonProfile/Definitions/APII_Locality?template=oopshistory][history]]","","","","","richtext","","","","","","","PaulHarvey","1296780833","BaseUserMapping_333","1304790029","3","APII","30b9166d6d3b635f6b177cd3f3acaa1e"
"TaxonProfile/Definitions.APII_NameSource","Name source","","","For plants, where the name of the plant was sourced from.","","APII","","Unplaced","","","","","","","","","","","","","text","50","","","","","","PaulHarvey","1296780042","BaseUserMapping_333","1304790029","3","APII","a0470ec427a26562b73fda952d15d86c"
"TaxonProfile/Definitions.APII_Notes","Notes","","","General notes.","","APII","","Unplaced","","","","","","","[[http://peperomia-bp/foswiki/git/bin/view/TaxonProfile/Definitions/APII_Notes?rev=0]]","[[/foswiki/git/bin/oops/TaxonProfile/Definitions/APII_Notes?template=oopshistory][history]]","","","","","richtext","","","","","","","PaulHarvey","1296781129","BaseUserMapping_333","1304790029","3","APII","94efd6835c4b26f52d694ad9c5dc6e6c"
"TaxonProfile/Definitions.APII_PublicAccess","Public Access","","","A flag that indicates is this image is available for public access.","","APII","","Unplaced","","","","","","","","","","","","","radio","","Y,N","","","","","PaulHarvey","1296781038","BaseUserMapping_333","1304790029","3","APII","7614cdefc6085cbcf151dee757160a6c"
"TaxonProfile/Definitions.APII_RegionName","Region name","","","Region within the country that the image was taken.","","APII","","Unplaced","","","Canberra","","","","","","","","","","text","30","","","","","","PaulHarvey","1296780792","BaseUserMapping_333","1304790030","3","APII","ac13b7542b3db113744c729cddc04184"
"TaxonProfile/Definitions.APII_Scale","Scale","","","For macro images, the approximate scale of the image to real life. This may be noted on the slide mount.","","APII","","Unplaced","","","10:1, 1:1 ???? standardise format 1:n or n:1","","","","","","","","","","text","5","","","","","","PaulHarvey","1296780710","BaseUserMapping_333","1304790030","3","APII","154f0ed255862d957f6f56d66e8cea33"
"TaxonProfile/Definitions.APII_Title","Title","","","Short caption to describe the picture. ","","APII","","Unplaced","","","If a plant &#65533; Flowers and seeds.","","","","[[http://peperomia-bp/foswiki/git/bin/view/TaxonProfile/Definitions/APII_Title?rev=0]]","[[/foswiki/git/bin/oops/TaxonProfile/Definitions/APII_Title?template=oopshistory][history]]","","","","","text","120","","","","","","PaulHarvey","1296780031","BaseUserMapping_333","1304790030","3","APII","c1f9fe11f59415ce8163c34982659b58"
"TaxonProfile/Definitions.APII_UpdateDate","Update date","","","When the record was last updated.","","APII","","Unplaced","","","","","","","[[http://peperomia-bp/foswiki/git/bin/view/TaxonProfile/Definitions/APII_UpdateDate?rev=0]]","[[/foswiki/git/bin/oops/TaxonProfile/Definitions/APII_UpdateDate?template=oopshistory][history]]","","","","","dynamiclabel","","
Search: &#34;1","","","","","PaulHarvey","1296781476","BaseUserMapping_333","1304790031","3","APII","c701fb881675084704bd73f5d6440d6b"
"TaxonProfile/Definitions.APII_UpdatedBy","Updated by","","","Who last updated the record.","","APII","","Unplaced","","","","","","","[[http://peperomia-bp/foswiki/git/bin/view/TaxonProfile/Definitions/APII_UpdatedBy?rev=0]]","[[/foswiki/git/bin/oops/TaxonProfile/Definitions/APII_UpdatedBy?template=oopshistory][history]]","","","","","dynamiclabel","","
Search: &#34;1","","","","","PaulHarvey","1296781437","BaseUserMapping_333","1304790031","3","APII","75d119376414f10c54c66d31c14781c4"
"TaxonProfile/Definitions.APII_WildCult","Wild/Cult","","","Flag to indicate if the image taken is of a wild or cultivated specimen.","","APII","","Unplaced","","","","","","","[[http://peperomia-bp/foswiki/git/bin/view/TaxonProfile/Definitions/APII_WildCult?rev=0]]","[[/foswiki/git/bin/oops/TaxonProfile/Definitions/APII_WildCult?template=oopshistory][history]]","","","","","radio","","W,C","","","","","PaulHarvey","1296780320","BaseUserMapping_333","1304790031","3","APII","b44a917786f3a7c3d42ba330fff7d459"
"TaxonProfile/Definitions.AntWiki_Identification","Identification","","Identification","","","AntWiki","","Unplaced","","","MacKay 2000: ""This is a small, dark species with very tiny propodeal spines, the node of the petiole has a relatively sharp apex and the ventral surface of the peduncle has a small tooth or at least a bump. The antenna has 12 segments. The head is usually partially smooth and shining, although this lack of sculpture may be restricted to only a slender strip. <br/>The sculpturing on the head may result in this species being misidentified as T. rugithorax. It can be distinguished on the basis of the distribution (L. rugithorax is from the state of Hidalgo) and that the apex of the petiole is sharp (blunt and rounded in T. rugithorax).""","","","","","","","","","","richtext","","","","","","","PaulAlexander","1295571346","BaseUserMapping_333","1304790031","2","AntWiki","2f9c6f580bc668af797fbca3d868e9f2"
"TaxonProfile/Definitions.AntsDCFamily_Development","Development","","Gradual advancement through progressive stages, growth from within.","","","AntsDCFamily","http://www.oed.com/","Ecology","1","","Ants, like other insects with complete metamorphosis, pass through three stages before reaching the adult form, i.e., the form which everyone recognizes as an ant. These stages are known as the egg, the larva and the pupa...","","","","","","","","","","richtext","","","","","","","PaulAlexander","1286772142","BaseUserMapping_333","1304790032","3","AntsDCFamily","3dd2d15e97e864dd36cfe3edce766556"
"TaxonProfile/Definitions.AntsDCFamily_Name","Name","","All ants and only ants belong to the Family Formicidae ","","","AntsDCFamily","","Nomenclature","1","","!FAMILY !FORMICIDAE","","","","","","","","","","richtext","","","","","","","PaulAlexander","1286771135","BaseUserMapping_333","1304790032","3","AntsDCFamily","e87d113401f45a7de5b9f0e30b4081d6"
"TaxonProfile/Definitions.AntsDCFamily_Polymorphism","Polymorphism","","the taxon in several different forms.","","","AntsDCFamily","http://www.oed.com/","DistinguishingAttributes","1","","Ants are noted for their polymorphism, which means that there are two or more adult forms of the same sex or caste. Ants differ not only from species to species but also within the same species. The intraspecific differences may be even greater than the interspecific differences. First there are differences between the sexes. The male is winged but otherwise markedly different from the winged female of the same species in some of the following respects; body smaller and slenderer, color darker, head smaller; eyes larger; mandibles smaller; antennal scape shorter; antennal funiculi longer and finer; genitalia more conspicuous. The female sex is divided into two castes: queen (or female) and worker (sometimes called neuter). The workers are always windless are are usually described as sterile....","","","","","","","","","","richtext","","","","","","","PaulAlexander","1286771823","BaseUserMapping_333","1304790032","3","AntsDCFamily","e91c4f58c9120d41184091565f23b7c3"
"TaxonProfile/Definitions.AntsDC_ColonyFounding","Colony founding","","Observed behaviour of queen when she is establishing a nest.","None","","AntsDC","","Biology","2","","From our field notes :-Deep Canyon, 13 May, 8 AM. Pogonomyrmex queen starting a new nest. She brings out a load, takes it to the outer edge of the mound and drops it. Moves fast. On the return trip to entrance the gaster is elevated; the return trip is jerky and slow and she may pause several times to move surface sand away from the entrance; she does this by a rapid movement of her fore feet (dog-fashion). If she encounters a large pebble on the return trip, she picks it up with her mandibles, carries it to the periphery and drops it. From entrance to periphery of mound 2 inches. Width of mound 2 1/4 inches. Entrance 1/4 inch. Throat of entrance tunnel nearly horizontal.","","","","","","","","","","richtext","","","","","","","PaulAlexander","1283316360","BaseUserMapping_333","1304790032","2","AntsDC","19fc4f6e1057795b195eeda58e5fa1ab"
"TaxonProfile/Definitions.AntsDC_Description","Description","","A textual representation of characteristics for the major and minor worker, (mostly but not always) the male and the female.  ","None","Polymorphism<br/>Includes dimensions and often colour and color coding from the [[http://en.wikipedia.org/wiki/Munsell_color_system][Munsell colour system]]","AntsDC","Ants of Deep Canyon: Colorado Desert California, Wheeler and Wheeler, 1973","DistinguishingAttributes","2","","","","","","","","","","","","richtext","","","","","","","PaulAlexander","1276233681","BaseUserMapping_333","1304790032","9","AntsDC","5ae3e1cafc54ba60147b9f945a957c98"
"TaxonProfile/Definitions.AntsDC_Enemies","Enemies","Predators","Organisms that prey on the taxa.","None","WC:AssociatedSpecies","AntsDC","","Biology","2","","The Argentine ant (Iridomyrmex humilis) is a serious enemy. The horned lizard Phrynosoma coronatum blainvillii lay beside the entrance and ate Pogonomyrmex workers. (Michener 1942.)","","","","","","","","","","richtext","","","","","","","PaulAlexander","1283314751","BaseUserMapping_333","1304790033","3","AntsDC","324d669f67fa78dfa416c5901b5d55e9"
"TaxonProfile/Definitions.AntsDC_Habits","Habits","","Daily behavioural patterns of the taxa. ","None","","AntsDC","","Biology","2","","The workers run rapidly and erratically, with frequent stops and changes of direction for no apparent reason. Often the gaster is conspicuously elevated; this doubtless has a cooling function. The nest entrance is closed at night and in the heat of the day with sand or pebbles.<br/>Michener (1942) reported the typical routine on a hot clear day at Pasadena: Opening of the nest entrance begins at 6:45 AM. At about 8:30 foraging begins: the workers deploy in all directions; they never form processions following trails. Orientation is by visual memory of the topography. By 10:30 the surface temperature is 129 F and foraging ceases. At 133 [F] workers forced out of the nest run at tremendous speed, climb pebbles or sticks, descend, climb again. If held at ground level they die in less than half a minute. By 2:30 at 115 0 foraging is resumed. At 4:40 the closing of the entrance begins and is completed by 6:30. The many workers who are left outside cluster near the entrance or climb plants for the night.<br/>Erickson (1972) reported the average number of workers per colony as about 4500. He found that the mounds averaged 46.5 cm in diameter and were 3.6 cm high. The nests extended 2 m deep.","","","","","","","","","","richtext","","","","","","","PaulAlexander","1283317238","BaseUserMapping_333","1304790033","3","AntsDC","c5d4489bbab92830ac9705284fbe3328"
"TaxonProfile/Definitions.AntsDC_Harvesting","Harvesting","","Ants garner seeds in large quantities in times of plenty, store them in chambers of the nest, to be eaten later on in times of scarcity.","None","","AntsDC","","Biology","2","Insectivorous hunters, storage of sweet exudations of plants and the honeydew from aphids and coccids, and feeding on fungi which they cultivate on a substrate of plant debris.","The workers of P. californicus are assiduous harvesters; they forage all day, except during the hottest hours when they remain in the nest. Seeds are harvested in great numbers, notably those of Phacelia spp., Aristida sp. and Sarcobatus vermiculatus; the mounds are often surrounded by the bracts of these and other seeds. (Cole 1932: 114.) ","","","","","","","","","","richtext","","","","","","","PaulAlexander","1283314104","BaseUserMapping_333","1304790033","2","AntsDC","a7eb9feded826733d964ea7e2831da07"
"TaxonProfile/Definitions.AntsDC_Illustrations","Illustrations","","Photos and drawings of ant parts, nest entrances, habitat and ant specimens.","None","","AntsDC","","Illustration","3","","","","","","","","","","","","richtext","","","","","","","PaulAlexander","1283387531","BaseUserMapping_333","1304790033","3","AntsDC","d2e829753a27bd94ae338e70090ef3f3"
"TaxonProfile/Definitions.AntsDC_Name","Name","Scientific Name","Genus and species names of the organism","The scientific name of an animal or plant consists of two words, the first the name of the genus to which it belongs, the second the name of the species. The specific name may not be used alone to name a species but must always be accompanied (and preceded) by the generic name.","Appendix F: is titles 'The name of ants' and includes information of the use of common names and names at the various rankings within the family Formicidae.","AntsDC","","Nomenclature","2","","_Pheidole barbata_","","","","","","","","","","richtext","","","","","","","PaulAlexander","1283308769","BaseUserMapping_333","1304790034","2","AntsDC","e05fe631de585c6ad75da12ebafac130"
"TaxonProfile/Definitions.AntsDC_Nests","Nests","","Description of the structure that is constructed and used for protection and inhabited by the species community. ","None","","AntsDC","","Knowledge","2","","P. californicus nests by preference in open areas in sandy or fine-gravelly soils (Fig. 16). Usually the nests are on level or nearly level ground, but among sand dunes they are located on steep slopes at the border of stabilizing vegetation.<br/>The underground nest is surmounted on the surface by a low flattened circular crater of loose sand 10-24 inches in diameter and 1-2 inches high. Near the center is a single entrance about &#190; inch in diameter. Frequently the excavated sand is blown away, leaving a hole in the ground as the only evidence of a nest.<br/>The workers make no attempt to clear away the vegetation around the nest.<br/>The nest of an incipient or young colony is usually located on a moderate slope (Fig.17).<br/>The mound is semicircular (often described as ""semilunar,"" ""crescentic"" or ""fan-like""), with a level surface which is situated just below the entrance; the latter is at the geometric center of the hypothetically completed circle. The radius is typically 4 inches. The entrance is a horizontal elliptical slit &#189; inch across. The entrance-tunnel descends obliquely into the earth. These mounds and entrances are strongly reminiscent of the entrances and tailings of abandoned gold and silver mines on the hillsides near Tonopah and Goldfield in evada.<br/>As the colony grows the mound tends to become a circular crater. On the steep slopes of sand dunes a flourishing colony may have mounds and entrances like those described above for young colonies, but the mounds will be much larger and there will be many mounds and entrances, always with the mound spread out down-slope below the entrance.<br/>We have found many chambers at a depth of one inch or less under an area of 1-2 square feet; these usually contained seeds or chaff. In a flourishing colony we found brood, seeds and sexuals in the same chamber, with the brood lying on the seeds. We have also found stored seeds at a depth of 5 inches.<br/>In the Desert Biome the following seeds were found in chambers in nests: Cercidium floridum, Cryptantha sp., Encelia sp., Euphorbia micromera.","","","","","","","","","","richtext","","","","","","","PaulAlexander","1283316032","BaseUserMapping_333","1304790034","6","AntsDC","19af9e85e475d6bc47f1ec64c8368c01"
"TaxonProfile/Definitions.AntsDC_NotesFromTheLiterature","Notes from the literature","","Related text from other sources","","","AntsDC","Ants of Deep Canyon: Colorado Desert California, Wheeler and Wheeler, 1973","Notes","","","","","","","","","","","","","richtext","","","","","","","PaulAlexander","1276233202","BaseUserMapping_333","1304790034","5","AntsDC","bc14b0ed5d8958e2d261452aca89e85e"
"TaxonProfile/Definitions.AntsDC_OpeningComments","Opening comments","","Introductory text describing the taxa in its habitat.","None","Opening comments are used to introduce both of two relatively large profiles in this work.","AntsDC","","Knowledge","2","","This red or red-and-black harvester is one of the common and conspicuous ants of the Mojave and Sonoran deserts. It is certainly the most irascible, resenting ferociously any intrusion with a potent and painful sting.","","","","","","","","","","richtext","","","","","","","PaulAlexander","1283316861","BaseUserMapping_333","1304790035","3","AntsDC","a366eff5a83a5427227e4052b3a4ab86"
"TaxonProfile/Definitions.AntsDC_Phenology","Phenology","","The study of periodic plant and animal life cycle events and how these are influenced by seasonal and interannual variations in climate.","None","AntsDC_Phenology:Definition source: Wikipedia:Phenology","AntsDC","","Biology","2","","Winged sexuals were found in the nest in early and middle July at the Nevada Test Site (Cole 1966: 4-5). Erickson (1972) studied colonies in San Diego County, California; he found the first larvae on 18 April, the first pupae 30 May and the first winged sexuals 27 June; a nuptial flight occurred 7 July. In Pasadena (Michener 1942) swarming occurred more than once a season, late in the morning on clear hot days in June and July. The nest was closed from November to February or March. A few workers were out in early spring and late fall.","","","","","","","","","","richtext","","","","","","","PaulAlexander","1283314484","BaseUserMapping_333","1304790035","2","AntsDC","257f0d48a7a92af05f85f7e09009e33f"
"TaxonProfile/Definitions.AntsDC_Range","Range","","The local distribution","None","","AntsDC","Ants of Deep Canyon: Colorado Desert California, Wheeler and Wheeler, 1973","Distribution","2","","Nevada, southern California and southwestern Utah southeastward to southwestern New Mexico, southwestern Texas and northern Mexico.","","","","","","","","","","richtext","","","","","","","PaulAlexander","1276233031","BaseUserMapping_333","1304790035","6","AntsDC","1ece9b3762bee736868016d6f9b90334"
"TaxonProfile/Definitions.AntsDC_Sting","Defense","","Behaviour when the species is provoked into defending itself of the nest, and the effects of the bite or sting on humans.","None","","AntsDC","","Knowledge","2","AntsDC:Sting","In small colonies the workers are timid, but in well established colonies Pogonomyrmex californicus is undoubtedly the fiercest, the boldest and the most irascible ant of the Sonoran Desert. Furthermore it is the quickest to sting and the effects of the sting are the most painful. It differs from most ants (but resembles the honey bee) in the ease with which the sting becomes detached during the act of stinging and remains in the wound. For these reasons we record our own observations below. (By way of comparison we should note that we are less sensitive than the average person to the stings of Manica and to other species of Pogonomyrmex.)<br/>Case 1. G. C. Wheeler, 2:00 PM stung on little finger; 2:03 whole finger ached; 3: 30 finger febrile, red, slightly swollen and slightly stiff; 5: 30 ache diminishing, still febrile and sweating, still slightly swollen and stiff; 6: 30 still slightly swollen and stiff but no longer febrile.<br/>Case 2...","","","","","","","","","","richtext","","","","","","","PaulAlexander","1283312701","BaseUserMapping_333","1304790036","5","AntsDC","0afd3010307f6403e0f07c58500b8ebf"
"TaxonProfile/Definitions.Ants_Associations","Associations","","Other organisms listed in the profile as having some association.","","Examples from text index: Bird, Mammals, Reptiles, Seeds ","Ants","Ants of Deep Canyon: Colorado Desert California, Wheeler and Wheeler, 1973","Ecology","","","","","","","","","","","","","richtext","","","","","","","PaulAlexander","1276234162","BaseUserMapping_333","1304790036","3","Ants","31e9bf0544c503c79b73005913de8631"
"TaxonProfile/Definitions.Ants_Biome","Biome","","A large easily recognizable, climatically controlled biotic community, e.g., the grasslands biome, the deciduous forest biome, etc. ","","","Ants","Ants of Deep Canyon: Colorado Desert California, Wheeler and Wheeler, 1973","Ecology","","","Image of the habitat","","","","","","","","","","richtext","","","","","","","PaulAlexander","1276233914","BaseUserMapping_333","1304790036","4","Ants","cb52f0679c80c9e58c73b76396e6cace"
"TaxonProfile/Definitions.Ants_ControlMeasures","Measures","Control Measures","Actions and activities to manage the growth and reduce the population of the taxon when the effect on other taxa is predicted to be negative.","","","Ants","http://en.wikipedia.org/wiki/Yellow_crazy_ant","Notes","1","","The main method of dealing with ant invasion is baiting. This requires special considerations. Finding a suitable bait that does not affect other species, is contagious, and lets the worker ants live long enough to carry the poison back to the colony is difficult. Different approaches include the so called ""stomach"" poisons and the use of pheromones.","","","","","","","","","","richtext","","","","","","","PaulAlexander","1276222681","BaseUserMapping_333","1304790036","4","Ants","addc781d8b6b0c5a15de89286f62a962"
"TaxonProfile/Definitions.Ants_Development","Development","","A description of the: egg, larva, pupa and adult stages ","","","Ants","Ants of Deep Canyon: Colorado Desert California, Wheeler and Wheeler, 1973","Biology","","","","","","","","","","","","","richtext","","","","","","","PaulAlexander","1276233616","BaseUserMapping_333","1304790037","3","Ants","39ca353384cd63529214e88d3a523d25"
"TaxonProfile/Definitions.Ants_Diet","Diet","","Information and discussion of the food that the taxon consumes for sustainance in the taxon's natural environment. ","","","Ants","http://en.wikipedia.org/wiki/Yellow_crazy_ant","Biology","1","","A. gracilipes has been described as a ""scavenging predator"" and has a broad diet, a characteristic of many invasive species. It consumes a wide variety of foods including grains, seeds, arthropods, and decaying matter, including vertebrate corpses. They have been reported to attack and dismember invertebrates such as small isopods, myriapods, molluscs, arachnids, land crabs, earthworms and insects.[10]<br/>Like all ants, A. gracilipes requires a protein-rich food source for the queen to lay eggs and carbohydrates as energy for the workers. They get their carbohydrates from plant nectar and honeydew producing insects, especially scale insects, aphids, and other Sternorrhyncha. Studies indicate that crazy ants rely so much on the scale insects that scarcity of them can actually limit ant population growth.[8]","","","","","","","","","","richtext","","","","","","","PaulAlexander","1276223078","BaseUserMapping_333","1304790037","5","Ants","e92dc28c2903597de8dd15fa5a371406"
"TaxonProfile/Definitions.Ants_GeographicalRangeAndDispersal","Geographical range and dispersal","","Geographical range and dispersal","None","","Ants","http://en.wikipedia.org/wiki/Yellow_crazy_ant","Distribution","1","","The yellow crazy ant&#8217;s natural habitat is not known, but it has been speculated that the species originated in West Africa. It has been introduced into a wide range of tropical and subtropical environments including Caribbean islands, some Indian Ocean islands (Seychelles, Madagascar, Mauritius, Reunion, the Cocos Islands and the Christmas Islands) and some Pacific islands (New Caledonia, Hawaii, French Polynesia, Okinawa, Vanuatu, Micronesia and the Galapagos archipelago)[8][9] The species has been known to occupy agricultural systems such as cinnamon, citrus, coffee and coconut plantations. Because the ant has generalized nesting habits, they are able to disperse via trucks, boats and other forms of human transport.[2]<br/>Crazy ant colonies naturally disperse through ""budding"", i.e. when mated queens and workers leave the nest to establish a new one, and only rarely through flight via female winged reproductive forms. Generally, colonies that disperse through ""budding"" have a lower rate of dispersal and need human intervention to reach distant areas. It has been recorded that A. gracilipes moves at about 37&#8211;400 meters a year in Seychelles.[8] A survey on Christmas Island, however, yielded an average spreading speed of three meters a day, the equivalent of one kilometre a year.[10]","","","","","","","","","","richtext","","","","","","","PaulAlexander","1276222426","BaseUserMapping_333","1304790037","4","Ants","0042db542359625077e820ea76b3f93a"
"TaxonProfile/Definitions.Ants_InvasivenessData","Invasiveness Data ","","A survey of the impacts this taxon has on its environment and other taxa.","","More precisely; Impact on Christmas Island","Ants","http://en.wikipedia.org/wiki/Yellow_crazy_ant","Ecology","1","","","","","","","","","","","","richtext","","","","","","","PaulAlexander","1276222607","BaseUserMapping_333","1304790037","4","Ants","ead1d7710a0a6ca69cde3d2efa0bde30"
"TaxonProfile/Definitions.Ants_Mimicry","Mimicry","","An organism that mimics another organism ","","Some jumping spiders mimic Oecophylla workers in both looking like them and, more importantly, by smelling like them with chemical mimicry.  Thus disguised, the spiders enter the ant's nest to devour both adult workers and larvae. [[http://anic.ento.csiro.au/ants/biota_details.aspx?BiotaID=37159][Ants Down Under]]","Ants","","Ecology","","","","02 Jun 2010 - 17:21","","","","<a href=","<a href=","","","","richtext","","","","","","","PaulAlexander","1275463269","BaseUserMapping_333","1304790038","5","Ants","1de46c2456a2456199637288a459f366"
"TaxonProfile/Definitions.Ants_Mutualism","Mutualism","","The relationship between taxa where each taxon benefits from the relationship. ","","","Ants","http://en.wikipedia.org/wiki/Yellow_crazy_ant","Ecology","1","","Mutualistic associations with several species of honeydew-producing scale insects allows the ants to obtain energy-rich carbohydrates. The ants protect the insects by 'nannying' the mobile crawler stages and protecting them against their natural enemies.[4] It is sometimes said that the ants are 'farming'; the scale insects.<br/>Recent experiments have shown that this connection is so strong that, in environments where A. gracilipes was removed, the density of scale insects dropped by 67% within 11 weeks, and to zero after 12 months.[11]","","","","","","","","","","richtext","","","","","","","PaulAlexander","1276222494","BaseUserMapping_333","1304790042","5","Ants","66a242722e89cb3cfdf8322aff5be3cd"
"TaxonProfile/Definitions.Ants_Name","Name","","Taxon name, Common name","","","Ants","","Nomenclature","1","","","","","","","","","","","","richtext","","","","","","","PaulAlexander","1284610419","BaseUserMapping_333","1304790043","3","Ants","f804addd71a413ff303f728c7c328859"
