"Topic","Source","SourceRev","SourcePermaID","Relationship","RelationshipRev","RelationshipPermaID","Destination","DestinationRev","DestinationPermaID","Notes","HappinessIndex","META:CREATEINFO.author","META:CREATEINFO.date","info.author","info.date","info.version","parent.name","preferences[name='PERM_ID_MD5'].value"
"TaxonProfile/Relationships.Relationship1012","TaxonProfile/Definitions.NZAC_CommonName","1","57fea81daaf2f5799ec7aa1fd0cbcd67","SKOS_ExactMatch","7","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_CommonName","13","409da90c9f7de6d59e2b82c5d74eb02f","","","PaulAlexander","1298868724","PaulAlexander","1298868724","1","Relationships","4753fd7fcec0ed7b7b8a99faaa31f12c"
"TaxonProfile/Relationships.Relationship1013","TaxonProfile/Definitions.NZAC_Classification","1","309d9dd7c67ebb6b9a522c92b1d07fdc","SKOS_ExactMatch","7","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Classification","8","bf2de180bae6ad0f89beeb041d3b5de6","","","PaulAlexander","1298868796","PaulAlexander","1298868796","1","Relationships","79930563ceef3d2aa673e98a77097088"
"TaxonProfile/Relationships.Relationship1014","TaxonProfile/Definitions.NZAC_BiostatusAndDistribution","1","41d17d64dd8d2e443a1058ea48921af4","SKOS_CloseMatch","8","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_Distribution","6","8997182f0d7d40d9c769011eda953f9d","","","PaulAlexander","1298868962","PaulAlexander","1298868962","1","Relationships","2d4274a8ab97ea6813bdbe01225ed2fd"
"TaxonProfile/Relationships.Relationship1015","TaxonProfile/Definitions.NZAC_Author","1","46a2c5b5091ebdecbe18a0a8bd518474","SKOS_CloseMatch","8","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_Author","21","6f1f1bfd59946141af473953c679d164","","","PaulAlexander","1298869658","PaulAlexander","1298869658","1","Relationships","24db4317e457ca955b9137b1f39c4249"
"TaxonProfile/Relationships.Relationship1016","TaxonProfile/Definitions.NZAC_AdditionalInformation","1","cabfbd87d99d27d773e8919f28034bfd","SKOS_CloseMatch","8","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_TaxonomicNotes","7","1cb1b8f413d8d4715ea7845fa453a470","","","PaulAlexander","1298871196","PaulAlexander","1298871196","1","Relationships","de4e47804c5831efbb5050858e5b31bd"
"TaxonProfile/Relationships.Relationship1017","TaxonProfile/Definitions.NZAC_Acknowledgements","1","03c21f76a1f004fbd73483838031976f","SKOS_ExactMatch","7","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Acknowledgements","1","c9488e49cac509ccecb90c55acec619f","","","PaulAlexander","1298871308","PaulAlexander","1298871308","1","Relationships","ec78b787a34432b33cf2d0e1cc945b82"
"TaxonProfile/Relationships.Relationship1018","TaxonProfile/Definitions.RIRDC_BotanicalName","1","d99bf18a266cc753300acb5beb536d7d","SKOS_CloseMatch","8","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_TaxonName","14","488490ae568513d08bb4fab5c861a1a7","","","PaulAlexander","1299111053","PaulAlexander","1299111053","1","Relationships","7d9848887dd1f718c20df0998ba68121"
"TaxonProfile/Relationships.Relationship1019","TaxonProfile/Definitions.Birds_References","4","a59ae7d993036a8a1fdd46dcf5b60021","SKOS_CloseMatch","8","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_Bibliography","23","b43f9b3e3e74c6e67add1e3bc379b62e","","","PaulAlexander","1300853988","PaulAlexander","1300853988","1","Relationships","564b5097504d9d9c646143fe492bb561"
"TaxonProfile/Relationships.Relationship102","TaxonProfile/Definitions.Birds_CommonName","1","1ff73e73d34e69f38cf589bb549b5dac","SKOS_ExactMatch","1","618a708e84e458a62e1d4204a1260a65","TaxonProfile/Definitions.WC_PopularCommonName","4","0e0cc3071219a4cdfa7409f5893443e8"," "," 5 ","BaseUserMapping_333","1295834030","BaseUserMapping_333","1304790605","2","","47fa5ef47c3ae60e9813924e569eecdb"
"TaxonProfile/Relationships.Relationship1020","TaxonProfile/Definitions.Sponge_Class","3","f0c3f9101eccd99e0af3f4342f21596d","SKOS_ExactMatch","10","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Class","8","933cb0da0dea62b852a0e4be1bb0f647","","","PaulAlexander","1335404952","PaulAlexander","1335404952","1","Relationships","565ed1fbd315b79c01727855d3f8c653"
"TaxonProfile/Relationships.Relationship1022","TaxonProfile/Definitions.FM_CommonName","2","18796f17094074247f0e83f2714b0fa2","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_CommonName","18","409da90c9f7de6d59e2b82c5d74eb02f","","","PaulAlexander","1335916050","PaulAlexander","1335916050","1","Relationships","ffcd7a511751f1632298eec876636b16"
"TaxonProfile/Relationships.Relationship1023","TaxonProfile/Definitions.Sponge_AboutURI","2","b09d46234550ece5c55d4c022133c8db","SKOS_ExactMatch","12","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_UniqueIdentifier","3","f09eb82acf16fe668aea97ea2c846fc6","","4","PaulAlexander","1337056923","GarryJolleyRogers","1337058119","2","Relationships","4ec2b2562bad64050beb8a2ba7877f91"
"TaxonProfile/Relationships.Relationship1024","TaxonProfile/Definitions.Sponge_AphiaID","2","df0a1929eefa8b736aa239403ec08a50","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions/WC_UniqueIdentifier","5","e09fd87f14a0255771bc0fb496eca550","","","GarryJolleyRogers","1337058442","GarryJolleyRogers","1337058442","1","Relationships","f37331eeafb83963cdfc10b8787ddf6a"
"TaxonProfile/Relationships.Relationship1025","TaxonProfile/Definitions.Sponge_Authority","3","83552468563732769ecd3e6b1eadeb10","SKOS_ExactMatch","10","3e3e92572dc04a7703e0fa4333eef2db","TaxonProfile/Definitions/WC_AuthorityAuthorAndCitation","9","0c8a87ce8ec783fc16abcf590cfef982","","6","GarryJolleyRogers","1337058890","GarryJolleyRogers","1337058890","1","Relationships","1f87b9c0dfe8b48d8967d1d49c2904cc"
"TaxonProfile/Relationships.Relationship1026","TaxonProfile/Definitions.Sponge_BOL","2","acfd73f97ae4bcb5b363466cdb673a65","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions/WC_UniqueIdentifier","5","e09fd87f14a0255771bc0fb496eca550","","","GarryJolleyRogers","1337059160","GarryJolleyRogers","1337059160","1","Relationships","62e8902c3fe2c6d2daf2284e2ae70c16"
"TaxonProfile/Relationships.Relationship1027","TaxonProfile/Definitions.Sponge_Biokb","2","b527632bd881b90b6cf984eead26e003","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions/WC_UniqueIdentifier","5","e09fd87f14a0255771bc0fb496eca550","","","GarryJolleyRogers","1337059255","GarryJolleyRogers","1337059255","1","Relationships","72792ee06136f3dafcf07ee3f4e18b57"
"TaxonProfile/Relationships.Relationship1028","TaxonProfile/Definitions.Sponge_CheckDate","3","53168019f09e0266129ca4791f7e3b28","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_DateRevised","3","488a5e566af021ae598bc2200d5f037f","","0","GarryJolleyRogers","1337059563","GarryJolleyRogers","1337059563","1","Relationships","6e199dcd778f09bd1d869a2b8ce241b8"
"TaxonProfile/Relationships.Relationship103","TaxonProfile/Definitions.Birds_CommonName","1","1ff73e73d34e69f38cf589bb549b5dac","SKOS_ExactMatch","1","618a708e84e458a62e1d4204a1260a65","TaxonProfile/Definitions.WC_PopularName","3","05c58cfcd9687ba62e0bd91a9c995989"," "," 2 ","BaseUserMapping_333","1295834030","BaseUserMapping_333","1304790605","2","","1dbf13c1a027079445f2cf759795d34a"
"TaxonProfile/Relationships.Relationship1030","TaxonProfile/Definitions.Sponge_CheckedBy","3","53168019f09e0266129ca4791f7e3b28","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_ProfileReviewer","1","663a2d1955b5a0611465f69e97f79568","","","GarryJolleyRogers","1337060394","GarryJolleyRogers","1337060394","1","Relationships","647db217cc5d391de45e4cdb9cb2b553"
"TaxonProfile/Relationships.Relationship1031","TaxonProfile/Definitions.Sponge_ChoanosomalSkeleton","3","bee057c72f3dc3b263a6a90f11bc16d2","DCTerms_IsPartOf","6","feb06b8c3d2ce31e91f675479d249405","TaxonProfile/Definitions.WC_Description","36","d176a8f34d68f8957c4bfb7242017481","","","GarryJolleyRogers","1337060640","GarryJolleyRogers","1337060640","1","Relationships","3a50dc3045d41a2cba6cb698065f8578"
"TaxonProfile/Relationships.Relationship1032","TaxonProfile/Definitions.Sponge_Class","3","f0c3f9101eccd99e0af3f4342f21596d","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Class","8","933cb0da0dea62b852a0e4be1bb0f647","","","GarryJolleyRogers","1337060789","GarryJolleyRogers","1337060789","1","Relationships","40db9a4221fa85f9b185137e635d8e34"
"TaxonProfile/Relationships.Relationship1033","TaxonProfile/Definitions.Sponge_Colour","3","453d0449ac160296dff6d28551fea466","DCTerms_IsPartOf","6","feb06b8c3d2ce31e91f675479d249405","TaxonProfile/Definitions.WC_Description","36","d176a8f34d68f8957c4bfb7242017481","","","GarryJolleyRogers","1337060835","GarryJolleyRogers","1337060835","1","Relationships","f978e99a2c770ce1d377432bff3128b2"
"TaxonProfile/Relationships.Relationship1034","TaxonProfile/Definitions.Sponge_EctosomalSkeleton","3","0b1522e832fadee765a9ba37f4f93a48","DCTerms_IsPartOf","6","feb06b8c3d2ce31e91f675479d249405","TaxonProfile/Definitions.WC_Description","36","d176a8f34d68f8957c4bfb7242017481","","","GarryJolleyRogers","1337060985","GarryJolleyRogers","1337060985","1","Relationships","3802d684b85da4f275a9baa2b0395b27"
"TaxonProfile/Relationships.Relationship1035","TaxonProfile/Definitions.Sponge_Family","3","7e3255d6c5b3a191f61de1563aca4929","SKOS_BroadMatch","10","3e3e92572dc04a7703e0fa4333eef2db","TaxonProfile/Definitions.WC_Family","11","d4126e8b6a31e940ae9d31734e67746a","","","GarryJolleyRogers","1337061035","GarryJolleyRogers","1337061035","1","Relationships","c01334e319b87ad5372aed999b928a76"
"TaxonProfile/Relationships.Relationship1036","TaxonProfile/Definitions.Sponge_FullName","5","63445e2cb1f2ae053f1336c954043dc6","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_ScientificName","12","7a514be68aca0d74887ee499b874f80e","","","GarryJolleyRogers","1337061107","GarryJolleyRogers","1337061107","1","Relationships","2256a6826ab02c0284fefc02ebaab708"
"TaxonProfile/Relationships.Relationship1037","TaxonProfile/Definitions.Sponge_Genus","3","3d729597c8e744aadd38d3d2f8e7d3f5","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Genus","12","16f4e1992550393b34cfc662100f3417","","","GarryJolleyRogers","1337061152","GarryJolleyRogers","1337061152","1","Relationships","5290e46c6285e9d4b8c0966d7d6f288c"
"TaxonProfile/Relationships.Relationship1038","TaxonProfile/Definitions.Sponge_GrowthForm","3","0598ccc1a31590a161ae883583f3fc5c","DCTerms_IsPartOf","6","feb06b8c3d2ce31e91f675479d249405","TaxonProfile/Definitions.WC_Description","36","d176a8f34d68f8957c4bfb7242017481","","","GarryJolleyRogers","1337061191","GarryJolleyRogers","1337061191","1","Relationships","49ef9b3e18c0b7ad1cf197c049b39ff0"
"TaxonProfile/Relationships.Relationship1039","TaxonProfile/Definitions.Sponge_HigherClassification","6","84b507ddf3ebb8c5958c823e2a83188d","DCTerms_IsPartOf","6","feb06b8c3d2ce31e91f675479d249405","TaxonProfile/Definitions.WC_Classification","13","bf2de180bae6ad0f89beeb041d3b5de6","","","GarryJolleyRogers","1337061255","GarryJolleyRogers","1337061255","1","Relationships","1b46c1825c67eaaa777ac80fd190cf3d"
"TaxonProfile/Relationships.Relationship104","TaxonProfile/Definitions.Birds_Name","1","762a33dc1da5526ab81ed658ee255dbb","SKOS_ExactMatch","1","618a708e84e458a62e1d4204a1260a65","TaxonProfile/Definitions.WC_AcceptedTaxonName","6","c95a09d34b034386ef48e82530778aa4"," "," 2 ","BaseUserMapping_333","1295834031","BaseUserMapping_333","1304790606","2","","6336b4200a703c46951f51273acb3bb4"
"TaxonProfile/Relationships.Relationship1040","TaxonProfile/Definitions.Sponge_Megascleres","3","db5ced30fdc2e0516bb2591cfb92b7f2","DCTerms_IsPartOf","6","feb06b8c3d2ce31e91f675479d249405","TaxonProfile/Definitions.WC_Description","36","d176a8f34d68f8957c4bfb7242017481","","","GarryJolleyRogers","1337063954","GarryJolleyRogers","1337063954","1","Relationships","f20273dab981fd9383dea1a1d6423d03"
"TaxonProfile/Relationships.Relationship1041","TaxonProfile/Definitions.Sponge_Microscleres","3","a5413e4e0f3cff26505d7aa617beabd1","DCTerms_IsPartOf","6","feb06b8c3d2ce31e91f675479d249405","TaxonProfile/Definitions.WC_Description","36","d176a8f34d68f8957c4bfb7242017481","","","GarryJolleyRogers","1337064020","GarryJolleyRogers","1337064020","1","Relationships","9e790430ef4f84f11731372cb5ff3ccb"
"TaxonProfile/Relationships.Relationship1042","TaxonProfile/Definitions.Sponge_MudmapAuthor","3","b829a583f164321b436253a3266ac15d","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_ProfileAuthor","8","937a5daa0d0afca4fbcce845ab1aa697","","","GarryJolleyRogers","1337064062","GarryJolleyRogers","1337064062","1","Relationships","9ecfcad0ef6fffda2325282ae9c100c5"
"TaxonProfile/Relationships.Relationship1043","TaxonProfile/Definitions.Sponge_OTUStatus","2","ab158fb8f34d48582a56831d3ee25d81","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_TaxonConceptStatus","1","15e2170a83a115c4105dbd25acbffaa5","","","GarryJolleyRogers","1337066353","GarryJolleyRogers","1337066353","1","Relationships","694aaa9da288e1f09039a97401bbc080"
"TaxonProfile/Relationships.Relationship1044","TaxonProfile/Definitions.Sponge_Order","3","eb6fe7c1c784491b29abdd7778fda38b","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Order","8","fdc821f92708e4ce86caa5b483c2d5c5","","","GarryJolleyRogers","1337066393","GarryJolleyRogers","1337066393","1","Relationships","af4b01debd8fc5a2bea3847e2cf40ac7"
"TaxonProfile/Relationships.Relationship1045","TaxonProfile/Definitions.Sponge_Oscules","3","8b517369f99568629cf455bd5870250d","DCTerms_IsPartOf","6","feb06b8c3d2ce31e91f675479d249405","TaxonProfile/Definitions.WC_Description","36","d176a8f34d68f8957c4bfb7242017481","","","GarryJolleyRogers","1337066429","GarryJolleyRogers","1337066429","1","Relationships","85423433e7067e627c888f9b4d8f9ac3"
"TaxonProfile/Relationships.Relationship1046","TaxonProfile/Definitions.Sponge_OzCam","2","30f70b6439aea90e65e9eabb4bd7b3ff","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_TaxonGUID","9","855b83f7c8c17f292d248e3cceaf34f1","","","GarryJolleyRogers","1337066468","GarryJolleyRogers","1337066468","1","Relationships","259cc8ffdadf9d35f58ce5aef145b033"
"TaxonProfile/Relationships.Relationship1047","TaxonProfile/Definitions.Sponge_Phylum","3","0b91bb9918f0d1cf47fd1c9d17ef011b","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Phylum","9","a0fba557fa0adb6dc52ce867e7339da4","","","GarryJolleyRogers","1337066495","GarryJolleyRogers","1337066495","1","Relationships","29f08c5e8ef7d4bc2640c75817fb2d3f"
"TaxonProfile/Relationships.Relationship1048","TaxonProfile/Definitions.Sponge_References","3","44d1299f9e7f2dcb9cb2a24e131a183a","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Bibliography","26","b43f9b3e3e74c6e67add1e3bc379b62e","","","GarryJolleyRogers","1337066547","GarryJolleyRogers","1337066547","1","Relationships","6842827c29f9a3871d57de16cf25b1f9"
"TaxonProfile/Relationships.Relationship1049","TaxonProfile/Definitions.Sponge_Remarks","3","03f23ce220050e6a339c32f8dec9659e","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Remarks","8","7c68f7de59228a0a784db76f25a67a35","","","GarryJolleyRogers","1337066603","GarryJolleyRogers","1337066603","1","Relationships","8c1c7a4671a7fcde08aed37ac767fd32"
"TaxonProfile/Relationships.Relationship105","TaxonProfile/Definitions.Birds_TaxonomyAndNomenclature","6","15bff878ae91e146d76cf565d2dc239c","SKOS_ExactMatch","1","618a708e84e458a62e1d4204a1260a65","TaxonProfile/Definitions.WC_Nomenclature","5","2b18dbc1607ce91265b432ee9bd3106e"," "," 1 ","BaseUserMapping_333","1295834031","BaseUserMapping_333","1304790606","2","","ddc82ba2ecd34bac834f14b2cf151cea"
"TaxonProfile/Relationships.Relationship1050","TaxonProfile/Definitions.Sponge_ScientificName","4","a85bc88479f4c79db6273d88b3dca56c","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_ScientificName","12","7a514be68aca0d74887ee499b874f80e","","","GarryJolleyRogers","1337066692","GarryJolleyRogers","1337066692","1","Relationships","2b4f9685d5f4ba2210343d3ebc91d318"
"TaxonProfile/Relationships.Relationship1051","TaxonProfile/Definitions.Sponge_Sp","5","cf4331fccb20ce2b4104b33f183c7f8a","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_OperationalTaxonomicUnit","1","9ad1fc7779db49516ee6b9e9b8f3402c","","","GarryJolleyRogers","1337067104","GarryJolleyRogers","1337067104","1","Relationships","886c9ad3ebf6e59a388f92a019fa446b"
"TaxonProfile/Relationships.Relationship1052","TaxonProfile/Definitions.Sponge_Species","5","fec9890a4841732860a9c46077f22def","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_OperationalTaxonomicUnit","1","9ad1fc7779db49516ee6b9e9b8f3402c","","","GarryJolleyRogers","1337067168","GarryJolleyRogers","1337067168","1","Relationships","f994c8f17e0c0f3d99b6f3f8973021c5"
"TaxonProfile/Relationships.Relationship1053","TaxonProfile/Definitions.Sponge_Specimens","2","0dead186576b7a97392b07820efe645d","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_RepresentativeSpecimens","8","176e26d46f375d8e12d5c79d98ba1e70","","","GarryJolleyRogers","1337067216","GarryJolleyRogers","1337067216","1","Relationships","28f29addcb59a2544a1016a28c282578"
"TaxonProfile/Relationships.Relationship1054","TaxonProfile/Definitions.Sponge_Subclass","3","93dc89cc1e34b7a1f4b9e3d469309366","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Subclass","1","76f6f5d0a2489e164071561e3b5a29c6","","","GarryJolleyRogers","1337067704","GarryJolleyRogers","1337067704","1","Relationships","b37e8f79b14ee272f7c7402554ba24f0"
"TaxonProfile/Relationships.Relationship1055","TaxonProfile/Definitions.Sponge_Subfamily","3","8181a51e2dffbe57b3db666957647cbe","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Subfamily","1","c0209c60beb4a5df9ff62fd6f266fa40","","","GarryJolleyRogers","1337067753","GarryJolleyRogers","1337067753","1","Relationships","f684a7b6a2850bb93d8fba0e15bf726b"
"TaxonProfile/Relationships.Relationship1056","TaxonProfile/Definitions.Sponge_Suborder","3","c56547749cd526210b63ae52a5cce33f","SKOS_ExactMatch","11","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_SubOrder","1","c4d5281b8531dbb0982c632eea8ab303","","","GarryJolleyRogers","1337067823","GarryJolleyRogers","1337067823","1","Relationships","e1ddaf29bd5eea18daa898af25d37fb9"
